,0,1,2,3,4,5,6,7,8,9
Mouse astrocytes-FACS.1,0.8821493,-1.4259328,3.187331,0.34149376,5.9722404,0.8092813,0.79887724,1.0444505,0.8649497,1.1975018
Mouse astrocytes-immunopanned,1.621311,-0.04328361,1.6724937,-0.044773072,5.8889904,0.96179956,-0.1774584,1.1243727,2.1095674,1.9679219
Mouse astrocytes-immunopanned.1,1.7179196,1.1884508,1.2849507,-0.41392276,5.264065,1.3131748,-0.87671673,0.9201787,2.1479142,2.2251954
Mouse astrocytes-immunopanned.2,1.875932,-0.5159372,1.9635131,0.27927816,6.1312647,0.7905774,-0.22309965,1.0564351,1.9873815,1.6183906
Mouse astrocytes-immunopanned.3,1.8157759,0.7106,1.3498728,-0.41155982,5.617477,1.2340344,-0.601526,1.0347202,2.2285945,2.1738153
Mouse neurons,-3.0038457,-0.97572696,4.234264,-0.17321075,1.387223,-2.6665313,-4.0505342,0.8267301,-2.2228467,0.62033427
Mouse neurons.1,-2.8008306,-1.3865105,4.395529,-0.31744227,1.5509069,-2.588685,-3.9240007,0.83665484,-1.8950787,0.4602076
Mouse oligodendrocytes,0.20487928,-3.5936258,4.45113,-0.3735494,1.5748572,-2.252047,-5.3165355,1.2944818,1.5473102,-2.3562045
Mouse oligodendrocytes.1,0.08178246,-2.8271983,3.5987232,0.17477104,1.280822,-2.7374413,-5.299202,0.94117457,1.1791809,-2.3744733
Mouse oligodendrocytes.2,0.7664173,-3.177133,0.6726642,-1.2267809,1.3395088,-2.7027125,-4.4793334,0.56051546,0.40268633,-2.732912
Mouse oligodendrocytes.3,0.8676776,-2.9157228,0.51847583,-0.7697612,1.21123,-2.8783767,-4.8976135,0.4971525,0.07663423,-2.7167368
Mouse oligodendrocytes.4,2.1491284,-1.009817,-1.2191097,-2.8597155,0.87128407,-1.8895816,-4.772388,0.32669097,-1.52818,-1.3188472
Mouse oligodendrocytes.5,1.6288114,-0.94392645,-0.563985,-2.4841275,1.0635736,-1.9069397,-4.5816293,0.20875317,-1.1849589,-1.1390911
Mouse microglia,3.4272075,0.13339588,3.2331536,1.3913149,-3.056306,0.6816944,-5.924478,2.7066429,-0.94265914,-0.7811136
Mouse microglia.1,3.4308336,0.5298705,3.0941732,1.4560647,-2.9151866,0.49009776,-6.115271,2.1648684,-1.046309,-0.8926276
Mouse endothelial,2.8061318,-4.625263,3.8925178,1.0182315,-2.3656633,-3.5382752,-3.0169353,3.3549087,-4.6213827,1.082411
Mouse endothelial.1,2.9012678,-4.5930085,3.8397014,1.0569047,-2.3774676,-3.665284,-3.046883,3.3436768,-4.565537,1.1466426
Mouse whole brain,-1.1949522,-2.3589585,5.4753737,-1.0464209,1.2187982,-2.2156303,-4.5117397,0.91582876,-1.61793,0.0010857433
Mouse whole brain.1,-1.1037505,-2.0699344,5.493033,-1.1967382,1.3239446,-2.195958,-4.5305505,0.7598955,-1.5412881,0.15717742
Mouse whole brain.2,-1.1136317,-2.4167032,5.5020094,-1.0949851,1.2293391,-2.2687485,-4.417604,0.91331357,-1.5945201,0.031769097
