,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Human fetal astrocytes.3,-4374.421,-1443.5153,953.8369,-649.1915,-210.58301,-1294.1667,717.44354,550.5504,240.79745,762.1742,327.3699,-618.4578,249.60535,-862.92706,-21.638016,-178.12364,-254.33195,-111.88601,-9.076298,-259.2395,69.73011,-289.49118,168.35072,-145.94412,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
Human fetal astrocytes.4,-4366.362,-1500.3446,780.8598,-942.76666,-222.94608,-1379.1926,675.3535,659.4075,698.3482,-226.92632,31.759794,-357.3623,152.23422,-356.64005,-103.5627,214.23961,-553.7613,-98.894585,-45.832508,24.557657,-117.781746,-57.14431,-101.09921,107.37315,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Human fetal astrocytes.5,-4376.8027,-1504.3615,778.3703,-595.4807,-200.60606,-1407.537,497.93756,635.0109,234.10684,298.91913,272.07343,-457.3611,77.80779,-520.8444,4.0881243,-151.78806,-290.01028,-31.581472,-173.02109,-104.71108,-28.38481,-125.800674,-21.607227,-20.999647,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
Human mature astrocytes,-4288.833,-895.83575,437.8202,-1916.6395,-1042.6736,1376.0089,634.71405,-524.7937,-233.14008,-67.3792,181.22891,-164.34352,45.75137,17.668821,-79.870155,557.9794,-168.54758,264.03802,-560.77527,642.1193,-16.222202,-187.11803,274.92422,-230.98999,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
Human mature astrocytes.1,-4238.753,-1425.5663,276.10077,-2378.9514,-1503.2035,2529.1614,417.21094,-1311.2379,267.0207,138.19888,-306.30627,146.25208,-70.203995,-31.858583,-91.84358,-171.4013,84.094406,-182.29977,-43.887432,-198.33595,-44.04927,-81.498764,-164.04672,119.542404,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
Human mature astrocytes.2,-4309.8438,-1200.6744,317.0976,-2034.4103,-1262.063,1856.9227,495.20892,-595.9332,308.9616,478.8289,-97.8389,134.43939,22.037294,22.627348,-54.4233,77.659454,-69.80046,103.26099,-230.01117,183.9643,-11.317692,-20.948212,101.67483,-98.65876,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
Human mature astrocytes.3,-4264.1147,-1351.8749,203.8841,-2145.268,-1323.9913,2156.2747,279.52963,-928.808,331.06845,393.782,-177.1094,140.33873,-106.49652,72.86669,4.1606035,87.41893,96.79068,-71.23052,-482.6571,-457.33005,32.541435,245.23627,-128.11742,109.51658,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
Human mature astrocytes.4,-4166.2046,-809.6938,471.07758,-1693.2004,-1164.1232,1774.364,355.67178,-1033.0751,-1057.55,-173.70108,300.9236,-291.74716,-106.04794,-218.48572,-12.664954,-145.23228,108.54403,301.07776,251.93643,666.3523,137.29555,-399.61426,210.19534,52.19376,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
Human mature astrocytes.5,-4357.3384,-1277.3014,235.82062,-2343.9648,-1543.5306,2735.7036,490.15103,-1003.06995,249.7886,672.1235,-228.44974,180.27496,13.586169,49.2636,-5.480338,-28.428425,-1.7454703,-36.640236,-348.768,-342.87512,-48.512726,-44.216324,-40.0835,-152.08426,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Human mature astrocytes.6,-4126.7227,-1267.732,497.41113,-1010.7111,-777.3269,657.36926,152.96823,-307.90128,-818.13525,-200.92896,224.53421,-108.66595,-159.44984,120.86366,102.96883,-129.61401,-115.90403,268.2858,-172.90906,163.48334,-35.567486,236.91685,-18.50857,108.88999,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
