use_case	iteration	ari_batch	ari_celltype
scVI	1	-0.00141134307566637	0.953306396722182
scVI	2	-0.00279603393050817	0.953324360790237
scVI	3	0.0018498518234597	0.474929893461818
scVI	4	-4.95348634208012e-05	0.968186775788739
scVI	5	-0.00208022711374167	0.938664215442072
scVI	6	-0.00165991648059945	0.945953749537339
scVI	7	0.00860691647833825	0.471062338900711
scVI	8	0.00127772443499918	0.954095872439428
scVI	9	-0.00295413493980314	0.961468125663049
scVI	10	-0.00281348330481618	0.960708215539015
scVI	11	0.0241781959829647	0.487117319810317
scVI	12	-0.00239567543478959	0.968186775788739
scVI	13	-0.00127061239993121	0.953306396722182
scVI	14	-0.00329371011417052	0.953292415106515
scVI	15	0.00258755746014394	0.945953749537339
scVI	16	-0.00196672338017141	0.945972235775387
scVI	17	0.00146089227176877	0.938682575915392
scVI	18	-0.00332114727646088	0.968916072951646
scVI	19	-0.00111213293325542	0.97642644169308
scVI	20	-0.00268568684093787	0.960721655088931
scVI_median	21	-0.00153562977813291	0.953306396722182
