use_case	iteration	ari_batch	ari_celltype
Scanorama	1	0.0808416568734026	0.0837893136423329
Scanorama	2	0.0704139116451707	0.0767585653383952
Scanorama	3	0.0413934461708667	0.0264828869236753
Scanorama	4	0.0860664997876642	0.0647913404242763
Scanorama	5	0.0816865493119243	0.0705115003289095
Scanorama	6	0.0895247802966186	0.0585434692647415
Scanorama	7	0.0466971816848099	0.0210212518979675
Scanorama	8	0.0799394131101955	0.0738384181068594
Scanorama	9	0.0759316115474286	0.0789163299769761
Scanorama	10	0.0854261551937964	0.0825969041155646
Scanorama	11	0.0857253155127903	0.0917077532661683
Scanorama	12	0.0871752972535291	0.0833389791337069
Scanorama	13	0.0667025371851796	0.113104612849251
Scanorama	14	0.079133721082791	0.0622605777163293
Scanorama	15	0.077743600237792	0.0647960173698523
Scanorama	16	0.0399098408527378	0.0130355469051181
Scanorama	17	0.0620046737754842	0.0246759328529862
Scanorama	18	0.0770294924900384	0.071831728998495
Scanorama	19	0.0583731525240136	0.0230615102516482
Scanorama	20	0.101055405604894	0.103964533790156
Scanorama_median	21	0.0784386606602915	0.0711716146637023
