use_case	iteration	ari_batch	ari_celltype
Harmony	1	0.0919872733581226	0.52649391345002
Harmony	2	0.102032871553857	0.501817323170131
Harmony	3	0.0104298812202734	0.476664575355599
Harmony	4	-0.00181660806232041	0.90826836093408
Harmony	5	0.102015629502307	0.511614756527373
Harmony	6	0.105210169772051	0.513720325479776
Harmony	7	0.0140976681994364	0.476664575355599
Harmony	8	0.113565490108461	0.514310912165736
Harmony	9	0.0950390604196554	0.513269162628913
Harmony	10	-0.00335886402521644	0.892465780536391
Harmony	11	0.0989933494821274	0.500670026719457
Harmony	12	0.105313471903591	0.500095876610151
Harmony	13	0.120264922335575	0.500032128162756
Harmony	14	0.102189317763441	0.516094056112045
Harmony	15	0.076331803244948	0.516500664477057
Harmony	16	0.104860045873803	0.504365208615842
Harmony	17	0.0142268178329413	0.486794089360969
Harmony	18	0.0968286527389965	0.51965155508115
Harmony	19	0.11347719537656	0.527164178531881
Harmony	20	-0.0031891752830074	0.959091346691484
Harmony_median	21	0.0979110011105619	0.513494744054344
