use_case	iteration	ari_batch	ari_celltype
MNN_Correct	1	0.127190565628279	0.423489030541789
MNN_Correct	2	0.100975323840764	0.508589194968399
MNN_Correct	3	0.0533197180736558	0.458078160651485
MNN_Correct	4	0.101799953968834	0.510617725705479
MNN_Correct	5	0.122004848131544	0.518336303378839
MNN_Correct	6	0.110807933384567	0.492459055948072
MNN_Correct	7	0.121937769197534	0.428561973442251
MNN_Correct	8	0.13722338449724	0.497839763873314
MNN_Correct	9	0.105393920818363	0.499200438207291
MNN_Correct	10	-0.00337722043312276	0.983313009236025
MNN_Correct	11	0.0274881431725797	0.482546796725636
MNN_Correct	12	0.122364953906676	0.507183429711173
MNN_Correct	13	0.126893059858756	0.435129149022298
MNN_Correct	14	0.100736553087585	0.50824876594054
MNN_Correct	15	0.0386103381821594	0.461360297656121
MNN_Correct	16	0.0631802615843445	0.453284818977359
MNN_Correct	17	0.0191635555341253	0.480520664606348
MNN_Correct	18	0.0987594415728895	0.498410084894264
MNN_Correct	19	0.0136351731468333	0.78813077801896
MNN_Correct	20	0.101135676120915	0.518202425879751
MNN_Correct_median	21	0.10105549998084	0.498124924383789
