use_case	iteration	ari_batch	ari_celltype
bbknn	1	0.297206817339105	0.523505560404821
bbknn	2	0.299832131713868	0.506134185879128
bbknn	3	0.120473669880727	0.450877214903439
bbknn	4	0.355936045258948	0.494083491807661
bbknn	5	0.306763322166205	0.4937595990432
bbknn	6	0.312043311435491	0.508683335187449
bbknn	7	0.137419146994087	0.451289486248719
bbknn	8	0.324670169640965	0.497064854757015
bbknn	9	0.303437973682711	0.502771886447313
bbknn	10	-0.00337722043312276	0.983313009236025
bbknn	11	0.338276266451392	0.506471173524876
bbknn	12	0.339411610937009	0.500750144886038
bbknn	13	0.29340234173581	0.511671166269847
bbknn	14	0.315881396431664	0.497347565312185
bbknn	15	0.293849405003133	0.506270091036765
bbknn	16	0.295724517895605	0.504499696038288
bbknn	17	0.318134546417608	0.498593629816965
bbknn	18	0.294753332769164	0.507699932033273
bbknn	19	0.337122069304003	0.506033258137079
bbknn	20	0.295538567624839	0.494754899886738
bbknn_median	21	0.301635052698289	0.5036357912428
