use_case	iteration	ari_batch	ari_celltype
ComBat	1	0.0299730821137432	0.510913855155618
ComBat	2	0.0364295753700024	0.517350694251144
ComBat	3	0.0104298812202734	0.476664575355599
ComBat	4	0.0312092811653513	0.522383935390112
ComBat	5	0.0314847349575756	0.499003634988305
ComBat	6	0.027507348236966	0.504456344973371
ComBat	7	0.0141449479066375	0.473071499432981
ComBat	8	-0.00171538043973528	0.975064984712347
ComBat	9	0.0339391056870339	0.507813587237047
ComBat	10	-0.00346007397003037	0.975064984712347
ComBat	11	0.0219405986549897	0.476664575355599
ComBat	12	-0.00314162902157876	0.929535048071999
ComBat	13	0.0353634181252981	0.52199816214776
ComBat	14	0.0358016866838173	0.521415047107134
ComBat	15	0.0210099052229817	0.50258476631963
ComBat	16	0.0163570061171514	0.471374107214713
ComBat	17	0.0152282460588711	0.476664575355599
ComBat	18	0.0324863471127931	0.507419680813378
ComBat	19	-0.00214384754137278	0.983313009236025
ComBat	20	-0.00295878094779303	0.975064984712347
ComBat_median	21	0.0214752519389857	0.509363721196332
