use_case	iteration	ari_batch	ari_celltype
scAEQN	1	-0.00346209297587995	0.906150736527521
scAEQN	2	-0.00096544238427669	0.890559661587923
scAEQN	3	-0.00117151589961564	0.868865082633629
scAEQN	4	-0.00299281056866175	0.906116594551556
scAEQN	5	-0.00175600665237085	0.869035009795482
scAEQN	6	-0.00283794352590909	0.883626913294126
scAEQN	7	-0.00175174786159944	0.870511214046746
scAEQN	8	-0.00317898996504821	0.898333917582739
scAEQN	9	-0.00128970913704084	0.876584814004964
scAEQN	10	-0.00159066606541288	0.890164883301748
scAEQN	11	0.0101010578483661	0.38302682379333
scAEQN	12	-0.00306834796765114	0.877344171125127
scAEQN	13	-0.00163161028253612	0.8989889231921
scAEQN	14	-0.00196455041672368	0.876433807112463
scAEQN	15	-0.00343609083647033	0.88358208592874
scAEQN	16	-0.00192271199716371	0.892689813240902
scAEQN	17	0.00748664446352714	0.381260917772129
scAEQN	18	-0.0006310256909362	0.88358208592874
scAEQN	19	-0.00337541313261413	0.92114556806052
scAEQN	20	-0.00215720383246692	0.898333917582739
scAEQN_median	21	-0.00183935932476728	0.883604499611433
