use_case	iteration	ari_batch	ari_celltype
Raw	1	0.297206817339105	0.523505560404821
Raw	2	0.305703795334537	0.506682551876647
Raw	3	0.120473669880727	0.450877214903439
Raw	4	0.355936045258948	0.494083491807661
Raw	5	0.306763322166205	0.4937595990432
Raw	6	0.312043311435491	0.508683335187449
Raw	7	0.137419146994087	0.451289486248719
Raw	8	0.324670169640965	0.497064854757015
Raw	9	0.303437973682711	0.502771886447313
Raw	10	-0.00337722043312276	0.983313009236025
Raw	11	0.338276266451392	0.506471173524876
Raw	12	0.333183241158305	0.501818204992202
Raw	13	0.29340234173581	0.511671166269847
Raw	14	0.315881396431664	0.497347565312185
Raw	15	0.293849405003133	0.506270091036765
Raw	16	0.301579887092084	0.505189407442481
Raw	17	0.318134546417608	0.498593629816965
Raw	18	0.294753332769164	0.507699932033273
Raw	19	0.337122069304003	0.506033258137079
Raw	20	0.295538567624839	0.494754899886738
Raw_median	21	0.304570884508624	0.503980646944897
