	batch	cell
ola_mES_2i_2_93.counts	1.01867556856357	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.04546310495431	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.53818595514922	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.02842100507968	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.03202226293792	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.24914832622203	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.5332490957367	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.4934535344547	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.15076954742649	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.0300748384325	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.03204787243925	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.50354517577762	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.03645738420308	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.45382049550393	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.0251815026205	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.04596203184293	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.34957881558568	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.04047318331117	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.0548198947948	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.47608311975525	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.03412641403012	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.31792432262458	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.0585582281911	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.06814673361838	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.06303930131201	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.15029231619649	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.03938213816003	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.44042712918175	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.02083446121041	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.06179497046582	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.02921697572511	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.0410889001664	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.09759891769207	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.04673155505515	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.31103548071563	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.53639247623584	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.04422079419804	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.26191976203995	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.04799594396763	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.0530695566144	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.50446397441072	ola_mES_2i_3_6.counts
ola_mES_2i_3_62.counts	1.06923495043469	ola_mES_2i_3_62.counts
ola_mES_2i_3_65.counts	1.09904106685449	ola_mES_2i_3_65.counts
ola_mES_2i_3_66.counts	1.02290692604974	ola_mES_2i_3_66.counts
ola_mES_2i_3_69.counts	1.18526794216031	ola_mES_2i_3_69.counts
ola_mES_2i_3_7.counts	1.3358436511759	ola_mES_2i_3_7.counts
ola_mES_2i_3_73.counts	1.38969878382447	ola_mES_2i_3_73.counts
ola_mES_2i_3_76.counts	1.34637727023507	ola_mES_2i_3_76.counts
ola_mES_2i_3_77.counts	1.04753632799472	ola_mES_2i_3_77.counts
ola_mES_2i_3_78.counts	1.03294587350322	ola_mES_2i_3_78.counts
ola_mES_2i_3_79.counts	1.53191338507325	ola_mES_2i_3_79.counts
ola_mES_2i_3_8.counts	1.12655155024826	ola_mES_2i_3_8.counts
ola_mES_2i_3_80.counts	1.17437570464104	ola_mES_2i_3_80.counts
ola_mES_2i_3_82.counts	1.09245894245218	ola_mES_2i_3_82.counts
ola_mES_2i_3_83.counts	1.2208695509957	ola_mES_2i_3_83.counts
ola_mES_2i_3_84.counts	1.15360653880102	ola_mES_2i_3_84.counts
ola_mES_2i_3_87.counts	1.24957628305776	ola_mES_2i_3_87.counts
ola_mES_2i_3_88.counts	1.03403563452171	ola_mES_2i_3_88.counts
ola_mES_2i_3_90.counts	1.02864538247637	ola_mES_2i_3_90.counts
ola_mES_2i_3_91.counts	1.5782022660826	ola_mES_2i_3_91.counts
ola_mES_2i_3_92.counts	1.08487844391274	ola_mES_2i_3_92.counts
ola_mES_2i_3_96.counts	1.31397081383724	ola_mES_2i_3_96.counts
ola_mES_a2i_2_1.counts	1.6519690137455	ola_mES_a2i_2_1.counts
ola_mES_a2i_2_10.counts	1.00609298370183	ola_mES_a2i_2_10.counts
ola_mES_a2i_2_11.counts	1.03561797908378	ola_mES_a2i_2_11.counts
ola_mES_a2i_2_12.counts	1.02607446613153	ola_mES_a2i_2_12.counts
ola_mES_a2i_2_13.counts	1.06877133869938	ola_mES_a2i_2_13.counts
ola_mES_a2i_2_14.counts	1.04356742508599	ola_mES_a2i_2_14.counts
ola_mES_a2i_2_15.counts	1.37957233325179	ola_mES_a2i_2_15.counts
ola_mES_a2i_2_16.counts	1.07318407963612	ola_mES_a2i_2_16.counts
ola_mES_a2i_2_17.counts	1.05483446680609	ola_mES_a2i_2_17.counts
ola_mES_a2i_2_18.counts	1.02465982662678	ola_mES_a2i_2_18.counts
ola_mES_a2i_2_19.counts	1.19066389708872	ola_mES_a2i_2_19.counts
ola_mES_a2i_2_2.counts	1.50973546707942	ola_mES_a2i_2_2.counts
ola_mES_a2i_2_20.counts	1.04699048512776	ola_mES_a2i_2_20.counts
ola_mES_a2i_2_21.counts	1.11107215686325	ola_mES_a2i_2_21.counts
ola_mES_a2i_2_22.counts	1.08158683587581	ola_mES_a2i_2_22.counts
ola_mES_a2i_2_23.counts	1.01737466655489	ola_mES_a2i_2_23.counts
ola_mES_a2i_2_24.counts	1.09619986997041	ola_mES_a2i_2_24.counts
ola_mES_a2i_2_25.counts	1.18429150732137	ola_mES_a2i_2_25.counts
ola_mES_a2i_2_26.counts	1.00413664756374	ola_mES_a2i_2_26.counts
ola_mES_a2i_2_27.counts	1.00966731865707	ola_mES_a2i_2_27.counts
ola_mES_a2i_2_28.counts	1.02229499034894	ola_mES_a2i_2_28.counts
ola_mES_a2i_2_29.counts	1.01078722237029	ola_mES_a2i_2_29.counts
ola_mES_a2i_2_3.counts	1.19755701371728	ola_mES_a2i_2_3.counts
ola_mES_a2i_2_30.counts	1.00210407904192	ola_mES_a2i_2_30.counts
ola_mES_a2i_2_31.counts	1.12404671430507	ola_mES_a2i_2_31.counts
ola_mES_a2i_2_32.counts	1.01925049927203	ola_mES_a2i_2_32.counts
ola_mES_a2i_2_33.counts	1.03197116593014	ola_mES_a2i_2_33.counts
ola_mES_a2i_2_34.counts	1.01127291798697	ola_mES_a2i_2_34.counts
ola_mES_a2i_2_35.counts	1.00609478825558	ola_mES_a2i_2_35.counts
ola_mES_a2i_2_36.counts	1.01748610543205	ola_mES_a2i_2_36.counts
ola_mES_a2i_2_37.counts	1.01640288722866	ola_mES_a2i_2_37.counts
ola_mES_a2i_2_38.counts	1.0077300731378	ola_mES_a2i_2_38.counts
ola_mES_a2i_2_39.counts	1.01425735633294	ola_mES_a2i_2_39.counts
ola_mES_a2i_2_4.counts	1.05213377153281	ola_mES_a2i_2_4.counts
ola_mES_a2i_2_40.counts	1.01234199390408	ola_mES_a2i_2_40.counts
ola_mES_a2i_2_41.counts	1.06713291896692	ola_mES_a2i_2_41.counts
ola_mES_a2i_2_42.counts	1.08217665719176	ola_mES_a2i_2_42.counts
ola_mES_a2i_2_43.counts	1.01477569748757	ola_mES_a2i_2_43.counts
ola_mES_a2i_2_44.counts	1.17194271910757	ola_mES_a2i_2_44.counts
ola_mES_a2i_2_45.counts	1.02439514931177	ola_mES_a2i_2_45.counts
ola_mES_a2i_2_46.counts	1.34947852899655	ola_mES_a2i_2_46.counts
ola_mES_a2i_2_47.counts	1.04359466827848	ola_mES_a2i_2_47.counts
ola_mES_a2i_2_48.counts	1.03338322810012	ola_mES_a2i_2_48.counts
ola_mES_a2i_2_49.counts	1.30276115665669	ola_mES_a2i_2_49.counts
ola_mES_a2i_2_5.counts	1.17733445293475	ola_mES_a2i_2_5.counts
ola_mES_a2i_2_50.counts	1.08930922505898	ola_mES_a2i_2_50.counts
ola_mES_a2i_2_51.counts	1.00449017034031	ola_mES_a2i_2_51.counts
ola_mES_a2i_2_52.counts	1.02907121957704	ola_mES_a2i_2_52.counts
ola_mES_a2i_2_53.counts	1.14287446739223	ola_mES_a2i_2_53.counts
ola_mES_a2i_2_54.counts	1.07818607939073	ola_mES_a2i_2_54.counts
ola_mES_a2i_2_55.counts	1.28436361993584	ola_mES_a2i_2_55.counts
ola_mES_a2i_2_56.counts	1.01004420541797	ola_mES_a2i_2_56.counts
ola_mES_a2i_2_57.counts	1.16395232273194	ola_mES_a2i_2_57.counts
ola_mES_a2i_2_59.counts	1.14983792727621	ola_mES_a2i_2_59.counts
ola_mES_a2i_2_6.counts	1.02383103340886	ola_mES_a2i_2_6.counts
ola_mES_a2i_2_60.counts	1.00777179879982	ola_mES_a2i_2_60.counts
ola_mES_a2i_2_61.counts	1.00682196793778	ola_mES_a2i_2_61.counts
