	celltype	cell
ola_mES_2i_2_93.counts	1.0318345110989	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.04919177612222	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.87570214012611	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.08495153163152	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.09730639430799	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.09435814328006	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.10434491189632	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.1726795522936	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.08324690447566	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.29446274795914	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.24246018490973	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.14870660368407	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.09182500147767	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.15759174863727	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.23943939792472	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.15871634315086	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.13756112422504	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.33313985857695	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.28449664471999	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.19427173346519	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.17463973629492	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.25507012396278	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.14121937253352	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.08360905881356	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.06554487806511	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.47661306535781	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.13675425463848	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.19140140064571	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.09268005307777	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.17563208968518	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.26713555886038	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.13697345131716	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.09221819583948	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.14097589631117	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.18307405175363	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.16646284919025	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.500842485999	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.08259667978999	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.07964296550821	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.06323816388005	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.17061965823789	ola_mES_2i_3_6.counts
ola_mES_2i_3_62.counts	1.1425494111688	ola_mES_2i_3_62.counts
