	celltype	cell
ola_mES_2i_2_93.counts	1.02321611886877	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.02067570904947	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.52474385245446	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.02919341170906	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.04631635141248	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.02646117391354	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.07434071200689	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.08960695605486	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.04665885451413	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.20604992097123	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.12926973421344	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.07960133303163	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.03505236299595	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.05806492004659	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.0662662068417	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.12474816355723	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.05366649518553	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.15375820260298	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.20607891131744	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.11975367158852	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.16733573749283	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.22874083511263	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.08064947277529	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.0485261724326	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.12402469079294	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.51581364518626	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.07978626560058	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.08564248471057	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.04252764853381	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.09730138302626	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.13441895263853	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.07708386325929	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.05627951356405	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.07462231763736	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.08495576074483	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.12004943483907	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.30036522330413	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.03466739362949	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.03313767630555	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.02564526687463	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.13329032854604	ola_mES_2i_3_6.counts
ola_mES_2i_3_62.counts	1.08084159945244	ola_mES_2i_3_62.counts
ola_mES_2i_3_65.counts	1.02396392104737	ola_mES_2i_3_65.counts
ola_mES_2i_3_66.counts	1.30426401491009	ola_mES_2i_3_66.counts
ola_mES_2i_3_69.counts	1.11231638859274	ola_mES_2i_3_69.counts
ola_mES_2i_3_7.counts	1.03191671302975	ola_mES_2i_3_7.counts
ola_mES_2i_3_73.counts	1.03086160417978	ola_mES_2i_3_73.counts
ola_mES_2i_3_76.counts	1.28673722637907	ola_mES_2i_3_76.counts
ola_mES_2i_3_77.counts	1.02020896079491	ola_mES_2i_3_77.counts
ola_mES_2i_3_78.counts	1.08427282913837	ola_mES_2i_3_78.counts
ola_mES_2i_3_79.counts	1.05240468610987	ola_mES_2i_3_79.counts
ola_mES_2i_3_8.counts	1.12599608606855	ola_mES_2i_3_8.counts
ola_mES_2i_3_80.counts	1.01509069470174	ola_mES_2i_3_80.counts
ola_mES_2i_3_82.counts	1.0807906189494	ola_mES_2i_3_82.counts
ola_mES_2i_3_83.counts	1.06495705647298	ola_mES_2i_3_83.counts
ola_mES_2i_3_84.counts	1.07345474209407	ola_mES_2i_3_84.counts
ola_mES_2i_3_87.counts	1.02072295438378	ola_mES_2i_3_87.counts
ola_mES_2i_3_88.counts	1.08921042342587	ola_mES_2i_3_88.counts
ola_mES_2i_3_90.counts	1.34881346924495	ola_mES_2i_3_90.counts
ola_mES_2i_3_91.counts	1.06806916669864	ola_mES_2i_3_91.counts
ola_mES_2i_3_92.counts	1.02136662820232	ola_mES_2i_3_92.counts
ola_mES_2i_3_96.counts	1.97646371444738	ola_mES_2i_3_96.counts
ola_mES_a2i_2_1.counts	1.06104034433925	ola_mES_a2i_2_1.counts
ola_mES_a2i_2_10.counts	1.01108583278342	ola_mES_a2i_2_10.counts
ola_mES_a2i_2_11.counts	1.00248046093337	ola_mES_a2i_2_11.counts
ola_mES_a2i_2_12.counts	1.00275212800729	ola_mES_a2i_2_12.counts
ola_mES_a2i_2_13.counts	1.05435248816964	ola_mES_a2i_2_13.counts
ola_mES_a2i_2_14.counts	1.01035513964287	ola_mES_a2i_2_14.counts
ola_mES_a2i_2_15.counts	1.0143682014628	ola_mES_a2i_2_15.counts
ola_mES_a2i_2_16.counts	1.00374039327038	ola_mES_a2i_2_16.counts
ola_mES_a2i_2_17.counts	1.01423866698068	ola_mES_a2i_2_17.counts
ola_mES_a2i_2_18.counts	1.03432136239457	ola_mES_a2i_2_18.counts
ola_mES_a2i_2_19.counts	1.01268751059429	ola_mES_a2i_2_19.counts
ola_mES_a2i_2_2.counts	1.19743674467877	ola_mES_a2i_2_2.counts
ola_mES_a2i_2_20.counts	1.00134675452652	ola_mES_a2i_2_20.counts
ola_mES_a2i_2_21.counts	1.09437606751943	ola_mES_a2i_2_21.counts
ola_mES_a2i_2_22.counts	1.01101160726887	ola_mES_a2i_2_22.counts
ola_mES_a2i_2_23.counts	1.02414304807179	ola_mES_a2i_2_23.counts
ola_mES_a2i_2_24.counts	1.01443463003	ola_mES_a2i_2_24.counts
ola_mES_a2i_2_25.counts	1.17903700752963	ola_mES_a2i_2_25.counts
ola_mES_a2i_2_26.counts	1.01170382756348	ola_mES_a2i_2_26.counts
ola_mES_a2i_2_27.counts	1.02596435587437	ola_mES_a2i_2_27.counts
ola_mES_a2i_2_28.counts	1.01508034989467	ola_mES_a2i_2_28.counts
ola_mES_a2i_2_29.counts	1.00852360987783	ola_mES_a2i_2_29.counts
ola_mES_a2i_2_3.counts	1.01447460804008	ola_mES_a2i_2_3.counts
ola_mES_a2i_2_30.counts	1.02549505815389	ola_mES_a2i_2_30.counts
ola_mES_a2i_2_31.counts	1.01342753091951	ola_mES_a2i_2_31.counts
ola_mES_a2i_2_32.counts	1.01259215735259	ola_mES_a2i_2_32.counts
ola_mES_a2i_2_33.counts	1.00218289823308	ola_mES_a2i_2_33.counts
ola_mES_a2i_2_34.counts	1.00241342370402	ola_mES_a2i_2_34.counts
ola_mES_a2i_2_35.counts	1.04809874909181	ola_mES_a2i_2_35.counts
ola_mES_a2i_2_36.counts	1.05153697402093	ola_mES_a2i_2_36.counts
ola_mES_a2i_2_37.counts	1.01386382629051	ola_mES_a2i_2_37.counts
ola_mES_a2i_2_38.counts	1.00186782627988	ola_mES_a2i_2_38.counts
ola_mES_a2i_2_39.counts	1.00223144980949	ola_mES_a2i_2_39.counts
ola_mES_a2i_2_4.counts	1.01775915318778	ola_mES_a2i_2_4.counts
ola_mES_a2i_2_40.counts	1.00655918273523	ola_mES_a2i_2_40.counts
ola_mES_a2i_2_41.counts	1.01309938520915	ola_mES_a2i_2_41.counts
ola_mES_a2i_2_42.counts	1.02191214559471	ola_mES_a2i_2_42.counts
ola_mES_a2i_2_43.counts	1.01895309438532	ola_mES_a2i_2_43.counts
ola_mES_a2i_2_44.counts	1.06183605952021	ola_mES_a2i_2_44.counts
ola_mES_a2i_2_45.counts	1.01480239423667	ola_mES_a2i_2_45.counts
ola_mES_a2i_2_46.counts	1.13762572980838	ola_mES_a2i_2_46.counts
ola_mES_a2i_2_47.counts	1.0003621965639	ola_mES_a2i_2_47.counts
ola_mES_a2i_2_48.counts	1.0155072304158	ola_mES_a2i_2_48.counts
ola_mES_a2i_2_49.counts	1.0297313802608	ola_mES_a2i_2_49.counts
