	batch	cell
ola_mES_2i_2_93.counts	1.99001529766756	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.98339013424182	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.99176302563393	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.73337428997704	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.89104808725603	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.97964088806701	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.97542623537612	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.94574794109216	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.97228248171471	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.93091833538844	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.9680954335102	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.99426434990503	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.98921454574105	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.96453386963781	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.91610061128956	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.96592577849826	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.92871868487842	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.99375890314131	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.90967404718429	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.97698777908633	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.99564388557936	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.97665021423351	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.97606695361494	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.99752024692638	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.95288505748464	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.94493844314881	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.99992043096497	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.99065907978676	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.98803980223187	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.9898602878571	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.98121904809478	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.99443344233211	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.89073454237772	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.99330847700041	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.95724535000534	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.99599194701321	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.97818704562977	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.99990779586553	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.65332283295836	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.83393118151712	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.99831740672314	ola_mES_2i_3_6.counts
