	celltype	cell
ola_mES_2i_2_93.counts	1.0319813497536	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.04948065732292	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.87659520077756	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.08554783322378	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.09733189605319	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.09835443830831	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.10470522223665	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.17293882202705	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.08467281064015	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.29468702879137	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.24110576474906	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.14994192684688	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.09241515726693	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.15795815417877	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.24292213493449	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.16149880441472	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.13899104080549	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.33354421602034	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.28670978926356	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.1934516966248	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.17536611641381	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.26404389518291	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.14337026808412	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.08366054414858	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.06541534964224	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.52291194976741	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.13800516540382	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.19178323782494	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.09569098851401	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.18003608668198	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.26691755776509	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.13793025335714	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.09451441334992	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.14533977160613	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.18426686843289	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.16624718865422	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.50979343364901	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.08317569038681	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.08082310178164	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.06395237742512	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.17104895527343	ola_mES_2i_3_6.counts
ola_mES_2i_3_62.counts	1.14651749252846	ola_mES_2i_3_62.counts
ola_mES_2i_3_65.counts	1.03848373509563	ola_mES_2i_3_65.counts
ola_mES_2i_3_66.counts	1.63162819363582	ola_mES_2i_3_66.counts
ola_mES_2i_3_69.counts	1.91659798983405	ola_mES_2i_3_69.counts
ola_mES_2i_3_7.counts	1.09131082839821	ola_mES_2i_3_7.counts
ola_mES_2i_3_73.counts	1.11174241955845	ola_mES_2i_3_73.counts
ola_mES_2i_3_76.counts	1.35365502401278	ola_mES_2i_3_76.counts
ola_mES_2i_3_77.counts	1.05410180578028	ola_mES_2i_3_77.counts
ola_mES_2i_3_78.counts	1.1870525095676	ola_mES_2i_3_78.counts
ola_mES_2i_3_79.counts	1.13296448739372	ola_mES_2i_3_79.counts
ola_mES_2i_3_8.counts	1.21286623448702	ola_mES_2i_3_8.counts
ola_mES_2i_3_80.counts	1.04053851145055	ola_mES_2i_3_80.counts
ola_mES_2i_3_82.counts	1.15235755221382	ola_mES_2i_3_82.counts
ola_mES_2i_3_83.counts	1.10988283166655	ola_mES_2i_3_83.counts
ola_mES_2i_3_84.counts	1.15679129887235	ola_mES_2i_3_84.counts
ola_mES_2i_3_87.counts	1.06378009066028	ola_mES_2i_3_87.counts
ola_mES_2i_3_88.counts	1.1122341234095	ola_mES_2i_3_88.counts
ola_mES_2i_3_90.counts	1.48612909318528	ola_mES_2i_3_90.counts
ola_mES_2i_3_91.counts	1.13663221376403	ola_mES_2i_3_91.counts
ola_mES_2i_3_92.counts	1.04012447776005	ola_mES_2i_3_92.counts
ola_mES_2i_3_96.counts	1.94598200263485	ola_mES_2i_3_96.counts
ola_mES_a2i_2_1.counts	1.09625549055095	ola_mES_a2i_2_1.counts
ola_mES_a2i_2_10.counts	1.01608099599034	ola_mES_a2i_2_10.counts
ola_mES_a2i_2_11.counts	1.00472081346606	ola_mES_a2i_2_11.counts
ola_mES_a2i_2_12.counts	1.00462657783289	ola_mES_a2i_2_12.counts
ola_mES_a2i_2_13.counts	1.08539544801344	ola_mES_a2i_2_13.counts
ola_mES_a2i_2_14.counts	1.02102979356604	ola_mES_a2i_2_14.counts
ola_mES_a2i_2_15.counts	1.03955315693014	ola_mES_a2i_2_15.counts
ola_mES_a2i_2_16.counts	1.01098955286847	ola_mES_a2i_2_16.counts
ola_mES_a2i_2_17.counts	1.02034099575341	ola_mES_a2i_2_17.counts
ola_mES_a2i_2_18.counts	1.04448980876361	ola_mES_a2i_2_18.counts
ola_mES_a2i_2_19.counts	1.03712794055126	ola_mES_a2i_2_19.counts
ola_mES_a2i_2_2.counts	1.28167668383459	ola_mES_a2i_2_2.counts
ola_mES_a2i_2_20.counts	1.00467065487683	ola_mES_a2i_2_20.counts
