	batch	cell
ola_mES_2i_2_76.counts	1.36090170541832	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.21372184239683	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.30572130610375	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1.71035068695406	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1.24046326056549	ola_mES_2i_2_81.counts
ola_mES_2i_2_85.counts	1.3782816149955	ola_mES_2i_2_85.counts
ola_mES_2i_2_86.counts	1.17903458502071	ola_mES_2i_2_86.counts
ola_mES_2i_2_87.counts	1.73893281770291	ola_mES_2i_2_87.counts
ola_mES_2i_2_90.counts	1.57234882543513	ola_mES_2i_2_90.counts
ola_mES_2i_2_91.counts	1.63493763238337	ola_mES_2i_2_91.counts
ola_mES_2i_2_93.counts	1.39426634565518	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.99762977259944	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.75393562793082	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.20261199615155	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.32116861813114	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.81182383147804	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.956721064297	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.59350084747435	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.46510119703971	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.32593029150733	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.22212242431413	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.65448530521727	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.46844090707553	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.91567950125149	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.16220231511533	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.47586871469221	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.80258932869736	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.17991268925762	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.4270099688466	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.34651579766183	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.15536332698019	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.69862762941175	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.28017854357782	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.42076275080203	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.30166261774481	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.4142470404757	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.26623456741948	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.52401124505884	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.16081566637942	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.3493212919399	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.15469973084844	ola_mES_2i_3_45.counts
