	batch	cell
ola_mES_2i_2_93.counts	1.23771531282302	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.3886009738725	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.7112518254873	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.82729324998401	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.5711092213598	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.43411359127339	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.27394090616114	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.33783365520164	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.15212528770276	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.9857824329759	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.91318006670386	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.27507487560901	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.94690733567995	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.29193527062749	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.77620943819723	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.6505587264151	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.20978914091849	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.67821348437227	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.50104454763403	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.40573560886736	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.88886342903446	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.85786924066705	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.91262084649511	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.9554082449286	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.99567444886812	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.17095813741473	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.55984503673214	ola_mES_2i_3_4.counts
