	celltype	cell
ola_mES_2i_2_93.counts	1.03871933602751	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.25001295017456	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	2.1297847934709	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.00030703458818	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.00055103411002	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.00349822322263	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.00222678520331	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.00082705016705	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.00404945022684	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.00749200699061	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.00145600056087	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.00203603843375	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.00788384475661	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.01011862762617	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.02309739677924	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.00474572496491	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.00110938964944	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.02258906001129	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.00231679567737	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.00082311144416	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.02575447769758	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.00043949062648	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.00024764368712	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.00334389373382	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.01430612341477	ola_mES_2i_3_39.counts
