	batch	cell
ola_mES_2i_2_93.counts	1.08720466289668	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.18660234033966	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.07787509233344	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.04297664388149	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.06619720520064	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.04015980400201	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.08731557232125	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.20426508619287	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.08573318928017	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.11796458653384	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.14106530152312	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.17731427359562	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.06353190080226	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.14127198345263	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.07749333118432	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.13048578679421	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.12807922979265	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.08151380649238	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.20874499162479	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.15074044420498	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.02908272779223	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.28282392882365	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.08357056823048	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.03198603323615	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.16239124220717	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.31379781193803	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.07276801963475	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.13127124946248	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.06295241986562	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.11230307037285	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.03307023346873	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.0730930865135	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.06653729286208	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.06558132423548	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.07867657571143	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.09900015275323	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.10178161465117	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.1171254555815	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.03505625593333	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.05063811880615	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.10135196301126	ola_mES_2i_3_6.counts
ola_mES_2i_3_62.counts	1.17612879859298	ola_mES_2i_3_62.counts
ola_mES_2i_3_65.counts	1.09448183448242	ola_mES_2i_3_65.counts
ola_mES_2i_3_66.counts	1.21422357860161	ola_mES_2i_3_66.counts
ola_mES_2i_3_69.counts	1.24216605052833	ola_mES_2i_3_69.counts
ola_mES_2i_3_7.counts	1.14551552968879	ola_mES_2i_3_7.counts
ola_mES_2i_3_73.counts	1.13895335518566	ola_mES_2i_3_73.counts
ola_mES_2i_3_76.counts	1.18028405762883	ola_mES_2i_3_76.counts
ola_mES_2i_3_77.counts	1.02534828494017	ola_mES_2i_3_77.counts
ola_mES_2i_3_78.counts	1.09381355959123	ola_mES_2i_3_78.counts
ola_mES_2i_3_79.counts	1.16957920866534	ola_mES_2i_3_79.counts
ola_mES_2i_3_8.counts	1.09334220413379	ola_mES_2i_3_8.counts
ola_mES_2i_3_80.counts	1.03911164235069	ola_mES_2i_3_80.counts
ola_mES_2i_3_82.counts	1.07514716592855	ola_mES_2i_3_82.counts
ola_mES_2i_3_83.counts	1.09914809022556	ola_mES_2i_3_83.counts
