cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_46.counts,-77.23914,-27.22839,49.241043,4.6716886,20.609135,-21.005936,-29.041685,-24.202456,-6.450008,-3.0820544,batch2,2i
ola_mES_2i_2_47.counts,-83.0899,-25.723356,17.091425,21.885345,38.870865,-35.408775,-19.831472,17.589132,8.362489,11.765139,batch2,2i
ola_mES_2i_2_48.counts,-92.10807,-13.629447,16.44733,20.4267,40.858963,-42.016087,-13.261236,21.54786,11.299858,-0.12537979,batch2,2i
ola_mES_2i_2_49.counts,-79.729744,-23.15784,49.78287,5.6324625,2.5432277,-1.857895,-10.291909,-23.539055,15.218961,-6.703887,batch2,2i
ola_mES_2i_2_5.counts,-83.71179,-14.462903,-0.45102334,28.336132,26.401701,-16.021494,13.524662,-31.53568,6.998308,-14.356526,batch2,2i
ola_mES_2i_2_50.counts,-74.032036,-14.663871,14.826203,9.831082,15.666907,11.267184,8.391202,-9.612925,75.84794,7.5398297,batch2,2i
ola_mES_2i_2_51.counts,-84.850914,-20.958382,23.37814,21.116684,27.139301,-27.083418,-7.9120393,-7.781057,3.1550896,-5.557103,batch2,2i
ola_mES_2i_2_52.counts,-79.99126,-19.145689,1.5440172,20.762192,16.163708,-10.396909,-1.9453452,16.97733,34.62437,25.12403,batch2,2i
ola_mES_2i_2_53.counts,-81.14479,-32.148327,57.75577,3.742411,0.07168933,-16.521152,-24.917093,-2.532119,6.172112,-0.009390143,batch2,2i
ola_mES_2i_2_54.counts,-83.801796,-21.915659,-37.30546,42.68821,46.155636,-59.487106,-1.443081,-14.160408,-18.730537,1.8725007,batch2,2i
ola_mES_2i_2_55.counts,-74.08209,-43.681076,59.74499,-11.160172,-0.30111587,-26.147896,-17.896856,5.6864953,4.483446,-9.912906,batch2,2i
ola_mES_2i_2_56.counts,-80.44318,-14.57926,21.307413,9.254448,35.681366,-22.478401,-17.203318,-21.537262,13.70208,-30.657482,batch2,2i
ola_mES_2i_2_57.counts,-83.57013,-44.09353,35.941498,1.9205368,9.235506,-28.701162,-21.2993,8.6567745,2.861146,-6.0547185,batch2,2i
ola_mES_2i_2_58.counts,-78.047935,-26.396027,60.502777,2.874442,10.531611,-9.1366,-25.870083,-4.641395,-10.256364,-10.769009,batch2,2i
