cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_46.counts,-32.055374,-92.23719,28.758259,27.82641,-8.612349,-31.969309,-26.848349,-2.940555,9.347169,20.098331,batch2,2i
ola_mES_2i_2_47.counts,4.6077194,-86.81157,-6.2390823,43.33123,-9.106924,-44.070904,15.814576,11.643003,9.7315,-8.138172,batch2,2i
ola_mES_2i_2_48.counts,25.19991,-89.791405,-1.9440466,45.794434,-8.588903,-46.524876,21.577703,11.913551,-8.550093,-14.346648,batch2,2i
ola_mES_2i_2_49.counts,-27.450996,-93.792694,30.606611,19.536375,2.3811197,-2.859138,-26.152021,14.888274,-1.369823,10.789119,batch2,2i
ola_mES_2i_2_5.counts,35.81544,-76.82188,-18.897205,42.786457,4.4761243,-6.8552375,-28.31447,0.11341475,-17.070208,4.773402,batch2,2i
ola_mES_2i_2_50.counts,12.756266,-74.12741,-0.37724164,24.869072,-5.715577,15.604164,-15.007173,70.25608,-4.9232764,-17.922554,batch2,2i
ola_mES_2i_2_51.counts,1.9383734,-88.97475,3.8973322,38.307278,0.015297748,-29.47041,-7.667457,1.189829,-9.161988,-4.654816,batch2,2i
ola_mES_2i_2_52.counts,14.6214285,-79.52016,-14.469936,24.689405,2.8158906,-10.795976,14.176362,34.487812,11.998616,-28.991669,batch2,2i
ola_mES_2i_2_53.counts,-41.212914,-100.045364,34.226192,18.989061,3.41892,-20.716045,-5.1410007,11.364124,4.3716383,4.393359,batch2,2i
ola_mES_2i_2_54.counts,59.92715,-68.219376,-54.94565,57.08599,8.195233,-53.39959,-10.069538,-20.130621,9.749994,15.3758135,batch2,2i
ola_mES_2i_2_55.counts,-61.013878,-97.43424,39.21092,14.148527,-1.2092377,-24.17129,5.1390285,9.038573,-1.7137891,16.227575,batch2,2i
ola_mES_2i_2_56.counts,6.098101,-82.77441,7.204368,32.970955,-15.156475,-32.296944,-23.50878,11.703827,-22.853148,23.58313,batch2,2i
ola_mES_2i_2_57.counts,-38.824284,-100.21073,14.349522,19.739975,-0.7359754,-31.48946,7.1279044,8.018114,3.9118419,17.302729,batch2,2i
ola_mES_2i_2_58.counts,-37.641666,-96.63286,36.882507,22.312342,-6.8121824,-19.411737,-7.1534142,-4.9948716,1.7135628,20.546003,batch2,2i
ola_mES_2i_2_59.counts,-7.3854346,-87.9303,1.1651728,41.646076,2.349615,-50.798958,-9.212951,-23.751455,2.0705047,15.415731,batch2,2i
ola_mES_2i_2_6.counts,-29.411629,-94.617386,12.847877,26.242926,-5.1688714,-25.828787,5.761042,13.678085,-2.5682871,-7.684914,batch2,2i
ola_mES_2i_2_60.counts,-24.144173,-98.266014,43.052605,34.34738,-16.010178,-30.235653,-27.580297,-6.2387977,-8.3946905,21.31989,batch2,2i
ola_mES_2i_2_61.counts,-22.544956,-93.4561,16.516184,21.145477,5.341224,-2.6100144,-6.142852,41.640472,-4.3114796,6.8885593,batch2,2i
ola_mES_2i_2_62.counts,-55.175964,-100.83778,36.707188,18.633562,-13.377158,-24.418188,6.636542,13.2475815,10.7138195,1.0894972,batch2,2i
ola_mES_2i_2_63.counts,-25.47675,-91.23963,32.53163,29.774618,-11.615514,8.970379,-31.425776,30.974785,20.221464,-16.99366,batch2,2i
ola_mES_2i_2_64.counts,-11.924978,-85.32116,-5.1359024,25.804379,1.3088186,-32.027485,6.379987,2.9367976,-10.526419,7.6871643,batch2,2i
ola_mES_2i_2_66.counts,15.247782,-84.66153,-10.475401,39.582096,-3.854798,-24.995087,9.40866,28.047276,-12.467732,-25.201857,batch2,2i
ola_mES_2i_2_67.counts,-11.850474,-89.23056,27.313564,44.767094,-8.8634405,-17.370977,-21.572657,1.580929,15.696443,1.8738246,batch2,2i
ola_mES_2i_2_68.counts,-43.144234,-104.469376,42.81009,29.98019,-13.694103,-20.85786,4.772595,20.619116,13.275852,-8.809226,batch2,2i
ola_mES_2i_2_69.counts,-35.011566,-102.64665,21.288132,22.766193,1.1990466,-27.542662,7.1850786,26.155909,0.9366658,-5.032677,batch2,2i
ola_mES_2i_2_7.counts,-47.615192,-97.54961,17.896118,22.747389,-3.399053,-25.361792,0.89706624,12.432788,17.468712,0.5093924,batch2,2i
ola_mES_2i_2_72.counts,-47.333885,-98.28929,46.454353,24.418936,-17.712252,-7.2692747,-10.7433405,34.90626,-6.2414455,-2.2376564,batch2,2i
ola_mES_2i_2_73.counts,-47.987442,-87.03093,55.745514,31.809465,-36.97595,-4.505182,-25.50297,0.1860761,30.931442,19.34407,batch2,2i
ola_mES_2i_2_74.counts,43.58149,-59.856506,-7.874089,65.14449,-16.986805,-16.055834,-53.70004,-19.010603,32.337166,22.718866,batch2,2i
ola_mES_2i_2_75.counts,-58.12534,-92.074326,45.279804,17.349396,-8.610728,-4.911391,-1.6527201,27.044697,6.451762,-9.017348,batch2,2i
ola_mES_2i_2_76.counts,-24.023424,-85.48844,23.511778,26.455608,-8.798622,-18.116655,5.515627,7.2567525,-9.380346,-8.1200905,batch2,2i
ola_mES_2i_2_79.counts,-11.482031,-93.96596,9.729034,36.147194,-7.743614,-38.152367,-0.26567644,-4.204611,11.941895,5.553921,batch2,2i
ola_mES_2i_2_8.counts,-47.48994,-106.21653,45.639236,22.460625,-8.611564,-6.9748807,-1.4770098,27.961458,-2.0393827,-14.143013,batch2,2i
ola_mES_2i_2_80.counts,-26.874533,-83.83512,21.094507,24.768005,-24.049234,-13.631672,-2.9749875,24.259834,-2.791866,1.2319537,batch2,2i
ola_mES_2i_2_81.counts,-1.9657259,-80.66591,4.479411,46.513973,-19.658855,-41.791378,21.250057,3.628342,-1.4399081,4.780731,batch2,2i
ola_mES_2i_2_85.counts,-46.68634,-95.86891,30.823101,25.770313,-8.571501,-25.338827,1.160281,-2.7242887,-10.001947,22.262934,batch2,2i
ola_mES_2i_2_86.counts,28.880497,-61.687466,10.070956,58.822495,-6.6211286,8.738352,-66.74715,-3.8622055,-20.487537,16.559977,batch2,2i
ola_mES_2i_2_87.counts,-33.030308,-79.96168,30.331398,30.424442,-11.887584,-9.686017,-35.394344,-3.83775,-1.7806858,8.301566,batch2,2i
ola_mES_2i_2_90.counts,58.262486,-70.802414,-50.545414,50.02141,1.126706,-31.526796,-15.626095,15.226487,-7.319824,10.969429,batch2,2i
ola_mES_2i_2_91.counts,-10.439212,-80.40869,3.1703758,28.797348,19.452728,-11.841956,-8.60044,4.7378335,-19.000216,18.59417,batch2,2i
ola_mES_2i_2_93.counts,-6.917291,-85.985435,9.619011,29.568789,-18.09014,-4.7367663,-5.4295616,56.804897,-21.524971,-13.000194,batch2,2i
ola_mES_2i_2_94.counts,36.629387,-78.2319,-6.303959,72.65758,-15.95682,-56.03284,-11.104702,-29.459019,3.7436123,-8.904687,batch2,2i
ola_mES_2i_2_95.counts,98.41292,-50.189354,-74.45415,89.14883,-4.259358,-54.42268,-8.628952,11.354973,6.563397,-10.097509,batch2,2i
ola_mES_2i_3_10.counts,126.49208,6.6360807,60.26633,4.7560244,-37.477024,34.913242,0.9391276,12.5735235,1.1089467,-10.937761,batch3,2i
ola_mES_2i_3_11.counts,99.01868,-5.033494,44.454887,-4.3251777,-10.498718,25.164516,-2.0624385,-32.721424,-17.456161,-13.236966,batch3,2i
ola_mES_2i_3_12.counts,53.119156,-18.187706,71.37887,-13.993973,-33.979904,7.9379635,32.285713,-30.956577,-9.229697,0.28434482,batch3,2i
ola_mES_2i_3_13.counts,49.582623,-29.503605,80.93246,-15.190902,-34.591873,16.79174,33.71638,-4.9414873,-14.314829,-19.541704,batch3,2i
ola_mES_2i_3_15.counts,27.230583,-27.079891,81.154945,-19.213482,-33.61325,1.3463928,18.299664,-43.98722,-13.265095,-9.554468,batch3,2i
ola_mES_2i_3_16.counts,88.858315,-11.623466,55.853947,0.47094715,-32.921257,-4.93764,17.241785,-35.62198,-17.606646,-4.8921413,batch3,2i
ola_mES_2i_3_17.counts,130.77928,12.470075,20.362837,23.62543,-6.472358,1.0049827,9.035608,-30.447691,-4.592078,-3.4468887,batch3,2i
ola_mES_2i_3_18.counts,155.8842,17.981804,20.588713,25.702896,-31.505175,12.15723,-0.7863768,-23.80174,-6.9415803,-29.138802,batch3,2i
ola_mES_2i_3_19.counts,25.968187,-23.973269,90.14617,-17.092205,-39.43752,-0.3178308,16.491175,-37.268295,-15.842668,-3.2633104,batch3,2i
ola_mES_2i_3_2.counts,119.416145,10.557942,55.607895,1.6211001,-36.746952,40.10558,-17.218086,-21.037537,-43.620743,4.002021,batch3,2i
ola_mES_2i_3_20.counts,43.622753,-18.60235,84.900894,-27.297863,-30.019958,35.95555,18.360338,-3.467761,-16.426214,-15.76773,batch3,2i
ola_mES_2i_3_21.counts,182.25104,22.126936,31.75987,25.643127,-43.3701,24.124693,5.6291356,10.94919,1.4169272,5.7273774,batch3,2i
ola_mES_2i_3_23.counts,119.646996,-6.5583587,33.49305,8.833913,-25.517612,-3.935027,46.351242,-3.7592418,-2.9201655,-33.16589,batch3,2i
ola_mES_2i_3_25.counts,58.599857,-18.626238,82.212,-28.950312,-33.942688,29.741116,7.452815,8.195999,-13.6127615,-29.149263,batch3,2i
ola_mES_2i_3_26.counts,154.83119,19.917204,33.177177,20.218302,-7.385995,51.513847,-18.299332,-15.339249,15.494341,-13.1983385,batch3,2i
ola_mES_2i_3_28.counts,134.67326,3.1866517,19.932213,12.823106,-24.048386,-18.524618,21.8471,-37.536953,-13.947833,3.1982887,batch3,2i
ola_mES_2i_3_30.counts,22.588385,-24.537216,87.59623,-25.069118,-30.488857,3.0174444,24.714857,-13.36537,-2.1777089,-23.612072,batch3,2i
ola_mES_2i_3_31.counts,153.59909,10.971104,46.44839,11.466596,-24.915838,41.121864,-33.513474,-32.104248,1.4689499,4.890244,batch3,2i
ola_mES_2i_3_33.counts,80.66597,7.0139985,61.514076,-3.8701816,-51.508945,43.47525,79.81858,29.796707,49.195187,78.363716,batch3,2i
ola_mES_2i_3_36.counts,115.0741,4.3087554,47.242943,4.6575046,-31.354036,0.28152165,12.562979,-30.790136,-25.254637,4.4447813,batch3,2i
ola_mES_2i_3_37.counts,107.23056,-0.99604446,56.772427,-3.1619818,-33.655315,11.499315,31.08404,-12.934362,-0.025817199,42.94032,batch3,2i
ola_mES_2i_3_38.counts,111.48428,8.843519,75.5817,14.201758,-35.57912,51.65006,-30.813671,-32.52344,31.797934,-1.3278911,batch3,2i
ola_mES_2i_3_39.counts,125.88437,28.768955,40.42355,10.716689,-53.428898,57.112274,98.013794,70.144875,69.92439,113.70305,batch3,2i
ola_mES_2i_3_4.counts,121.71416,0.0838268,41.129757,10.6746025,-21.050615,2.3850791,10.116037,-34.721054,-9.849563,-7.264286,batch3,2i
ola_mES_2i_3_41.counts,15.687903,-28.870577,93.963455,-31.376375,-40.336693,20.141153,9.042235,-6.8845525,-7.915377,-9.963715,batch3,2i
ola_mES_2i_3_42.counts,138.94887,6.256057,45.243927,9.011544,-38.890224,23.832653,0.7186048,-2.0789135,-9.710439,-7.260424,batch3,2i
ola_mES_2i_3_43.counts,102.76894,-6.6567693,37.814915,-8.422362,-23.585245,-4.0108337,12.231375,-17.663485,-13.898358,10.20452,batch3,2i
ola_mES_2i_3_45.counts,154.90993,22.826624,35.92199,16.584606,-19.158766,38.82331,-19.777828,-14.758923,12.763194,-6.3016624,batch3,2i
ola_mES_2i_3_46.counts,124.40425,2.9782062,41.830555,7.3732724,-28.176468,4.688969,2.1931865,-28.711313,-28.984707,-8.952092,batch3,2i
ola_mES_2i_3_47.counts,87.898605,-5.1680484,58.826107,-5.3403006,-22.848318,26.123968,-22.26576,0.9635036,18.77663,-22.123667,batch3,2i
ola_mES_2i_3_49.counts,105.639534,-2.226482,43.414177,-4.525071,-15.867794,15.440929,-12.627988,-26.304543,-6.0284586,19.078535,batch3,2i
ola_mES_2i_3_5.counts,62.316402,-33.387085,56.1261,-26.253546,-16.57336,6.24306,28.63707,-17.906147,-17.894173,-14.187509,batch3,2i
ola_mES_2i_3_52.counts,21.618994,-30.900524,86.56561,-14.70759,-30.340816,-12.58992,26.99706,-20.412575,4.1247807,-19.299486,batch3,2i
ola_mES_2i_3_54.counts,190.9859,35.271545,8.0864525,34.14117,-46.539524,30.624325,60.062756,47.311382,43.193943,89.62099,batch3,2i
ola_mES_2i_3_56.counts,60.727043,-15.347479,89.62843,-16.897947,-25.337969,31.39996,10.873524,-12.17398,13.477233,-19.855875,batch3,2i
ola_mES_2i_3_57.counts,129.36403,-1.1551003,64.20106,6.9183316,-37.68666,47.48176,-10.524839,-0.90823287,-18.371109,3.27326,batch3,2i
ola_mES_2i_3_58.counts,120.04356,-3.5652554,56.212975,12.16669,-42.35478,14.100251,-3.379314,-26.472212,-9.506948,-0.4212327,batch3,2i
ola_mES_2i_3_6.counts,17.643475,-30.827572,91.86769,-26.545494,-33.04362,13.06155,17.41489,-9.293084,-13.04152,-6.9779577,batch3,2i
ola_mES_2i_3_62.counts,108.019295,3.235826,45.089336,4.5104866,-34.36551,-0.66307205,7.198114,-37.207375,-19.519567,5.897293,batch3,2i
ola_mES_2i_3_65.counts,89.09457,-3.542332,76.93866,-4.491832,-45.465797,21.026024,6.1278415,-3.5848687,14.747736,-18.708828,batch3,2i
ola_mES_2i_3_66.counts,184.39668,29.768421,-3.6883862,21.4051,-19.953959,11.670759,11.849621,-6.122511,-9.194944,-1.0933697,batch3,2i
ola_mES_2i_3_69.counts,276.38834,76.58955,4.9352684,33.32018,-27.561153,75.24165,-6.8780527,30.328217,0.10818762,33.247658,batch3,2i
ola_mES_2i_3_7.counts,44.234856,-16.452223,84.89615,-10.121578,-38.785835,12.138064,-0.64726293,-43.643147,-7.1219034,-13.361429,batch3,2i
ola_mES_2i_3_73.counts,34.58545,-18.645681,107.857414,-14.961852,-27.969154,26.41567,-27.30605,-31.371672,-3.2334821,8.546408,batch3,2i
ola_mES_2i_3_76.counts,52.71762,-14.297471,52.93296,-17.094675,-11.987537,7.7046127,19.333467,6.8603606,5.7487397,-32.494305,batch3,2i
ola_mES_2i_3_77.counts,103.032166,-7.2092075,56.03331,-11.212077,-34.637302,15.974672,12.890827,-11.896325,-23.213964,-5.881115,batch3,2i
