cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_46.counts,-36.131886,55.94567,-32.15414,-22.95451,3.72331,-2.468339,13.095976,-13.295911,40.200493,13.530099,batch2,2i
ola_mES_2i_2_47.counts,-20.826513,-55.8163,-52.376564,29.068798,14.470401,11.85972,5.7594595,3.037291,9.481723,7.9776726,batch2,2i
ola_mES_2i_2_48.counts,-51.47016,49.001183,-32.215546,-20.452784,17.357925,-7.440416,-5.141793,-29.897131,13.405495,-31.768496,batch2,2i
ola_mES_2i_2_49.counts,-1.4238605,-55.64766,-39.575554,26.06001,-0.5183947,7.11674,23.349573,-7.2892838,15.5727215,18.949757,batch2,2i
ola_mES_2i_2_5.counts,-37.09153,-6.542799,-44.085655,-1.4346508,11.187214,-25.109285,-6.993165,-15.395179,-0.27991605,13.724186,batch2,2i
ola_mES_2i_2_50.counts,-35.852097,-10.243288,-48.281937,16.124887,21.622593,10.095289,12.004137,17.145016,2.368183,3.793962,batch2,2i
ola_mES_2i_2_51.counts,-19.044384,-54.53962,-52.513226,10.878327,10.008156,0.8657298,14.269844,-0.18662739,-0.78097606,2.5403972,batch2,2i
ola_mES_2i_2_52.counts,-21.314274,-23.818254,-43.219593,-6.444991,4.995068,-12.508724,11.900652,-11.215261,1.105744,5.505764,batch2,2i
ola_mES_2i_2_53.counts,-18.71649,-37.999588,-50.09571,2.2075214,10.717953,1.7965463,2.933834,3.6601448,-6.635263,3.4581678,batch2,2i
ola_mES_2i_2_54.counts,-14.531433,-25.002645,-31.760983,-5.1611996,-0.8138286,-8.214114,43.814,7.4368615,11.394553,23.04664,batch2,2i
ola_mES_2i_2_55.counts,-7.0569115,-37.462616,-44.568005,7.151823,12.925099,2.4407735,9.438593,2.4180703,-6.1687927,-5.691738,batch2,2i
ola_mES_2i_2_56.counts,100.07266,-21.79982,30.501686,32.978645,39.74942,-23.460539,5.5204186,-5.7796917,-11.0927305,2.5620298,batch2,2i
ola_mES_2i_2_57.counts,-3.4695718,-75.44186,-35.345577,29.503593,10.148652,-13.76683,34.142147,9.954203,7.916899,38.316223,batch2,2i
ola_mES_2i_2_58.counts,-2.535612,-52.06536,-51.96535,17.891144,7.7945313,10.603816,12.35329,3.461423,22.630484,14.543566,batch2,2i
ola_mES_2i_2_59.counts,-16.938728,-28.18807,-49.8647,21.190924,14.608781,-4.8057675,-24.035128,5.283412,4.649888,8.724912,batch2,2i
ola_mES_2i_2_6.counts,-12.464901,-65.414024,-52.918972,23.008505,16.330536,10.3905945,8.0376,4.8575506,12.589493,15.293624,batch2,2i
ola_mES_2i_2_60.counts,-54.409084,15.237585,-48.015926,-32.610477,47.52111,-11.737633,-39.184322,-5.6839933,12.006467,-2.8648458,batch2,2i
ola_mES_2i_2_61.counts,-23.940556,-70.136795,-46.870106,30.739353,8.28187,-18.644083,22.409887,-1.0142419,-10.737813,29.208076,batch2,2i
ola_mES_2i_2_62.counts,-6.4710903,-67.9066,-50.57346,34.821518,22.315096,10.9876795,6.9656377,6.8035274,15.205601,20.436514,batch2,2i
ola_mES_2i_2_63.counts,-51.924633,65.44061,-29.455626,-62.324875,47.001003,13.242397,3.79684,-14.476493,67.07518,-55.99005,batch2,2i
ola_mES_2i_2_64.counts,-28.288351,-5.401927,-54.22137,17.802784,28.717695,-0.28204536,12.117846,-10.6910715,-2.9439006,-23.119858,batch2,2i
