cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_46.counts,-56.748707,-61.237617,-20.966398,42.694183,-12.305184,-28.111853,-21.449547,-2.6456866,13.645565,13.674734,batch2,2i
ola_mES_2i_2_47.counts,-76.37103,-17.166933,-11.936692,29.722294,-10.248414,-53.359978,20.127792,10.269875,10.703235,-10.305556,batch2,2i
ola_mES_2i_2_48.counts,-92.760475,-7.5867615,-12.838737,41.006126,-9.325332,-52.851078,27.505526,9.11304,-7.862576,-11.245445,batch2,2i
ola_mES_2i_2_49.counts,-60.213295,-60.62707,-16.295427,37.77726,-1.2736498,1.179802,-16.093452,17.141817,6.83175,16.439938,batch2,2i
ola_mES_2i_2_5.counts,-90.96224,15.776514,-13.90474,31.563606,5.4491005,-18.777237,-21.31183,9.162063,-18.89657,10.873216,batch2,2i
ola_mES_2i_2_50.counts,-73.81819,-7.452721,-17.451591,30.557085,-6.396831,16.176273,16.95172,73.16876,8.962235,4.5189195,batch2,2i
ola_mES_2i_2_51.counts,-77.53173,-25.18859,-19.356308,39.142918,-1.4646558,-34.73622,-3.6170852,5.208742,-5.2063365,0.14677028,batch2,2i
ola_mES_2i_2_52.counts,-78.35229,-4.54344,-17.177998,16.83759,4.253678,-16.810417,26.017626,33.54014,11.155796,-26.81599,batch2,2i
ola_mES_2i_2_53.counts,-55.344696,-75.454704,-17.685514,36.748486,0.50787824,-16.741007,3.574804,6.7374845,2.3596585,1.3731179,batch2,2i
ola_mES_2i_2_54.counts,-101.45762,52.54705,-14.646968,18.626526,7.384141,-72.54139,-19.469328,-15.051654,9.043211,7.7787433,batch2,2i
ola_mES_2i_2_55.counts,-39.858704,-90.208145,-6.0931797,26.477434,-7.145409,-17.744967,9.255733,-3.6039202,-2.7148068,11.174438,batch2,2i
ola_mES_2i_2_56.counts,-75.92689,-20.688036,-18.105175,38.202377,-18.895578,-29.038698,-12.320198,9.385574,-13.353597,30.595566,batch2,2i
ola_mES_2i_2_57.counts,-57.105377,-66.06047,-11.029749,17.960596,-4.79328,-32.894238,9.042882,-2.359124,7.621931,13.124926,batch2,2i
ola_mES_2i_2_58.counts,-54.229053,-71.55651,-15.053456,39.99593,-8.915906,-16.891642,-6.5997825,-8.118626,3.8186128,17.665945,batch2,2i
ola_mES_2i_2_59.counts,-70.567795,-29.649433,-17.992945,35.923744,-0.52372277,-57.227703,-16.511074,-22.923418,0.12963386,4.3942223,batch2,2i
ola_mES_2i_2_6.counts,-58.982365,-54.090805,-15.019896,25.510857,-7.100383,-29.139626,12.213002,11.746002,-4.88569,-7.3392525,batch2,2i
ola_mES_2i_2_60.counts,-66.25636,-64.89788,-16.384296,56.928173,-19.038815,-24.78061,-21.582228,-4.6147833,-0.45305943,21.559835,batch2,2i
ola_mES_2i_2_61.counts,-63.167664,-51.014668,-18.337637,30.541023,4.046345,-4.47955,12.548437,41.182987,10.74415,24.157297,batch2,2i
ola_mES_2i_2_62.counts,-46.16352,-86.627266,-6.4077415,27.99285,-19.417624,-19.93124,11.4679,3.827454,5.32906,-3.5047607,batch2,2i
ola_mES_2i_2_63.counts,-59.352547,-56.49722,-13.684255,46.840736,-13.55049,7.3345118,-16.598068,43.22172,29.987465,-6.689301,batch2,2i
