cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_46.counts,-32.096245,-92.21444,28.743053,27.833782,-8.683789,-31.839758,-27.633373,-8.820615,-0.5791358,19.626482,batch2,2i
ola_mES_2i_2_47.counts,4.566564,-86.780205,-6.2746735,43.319412,-9.156041,-44.044426,13.69704,14.12806,-12.517254,-1.7987623,batch2,2i
ola_mES_2i_2_48.counts,25.17282,-89.78862,-1.9777365,45.77202,-8.694499,-46.421062,20.404043,16.356773,2.13434,-15.056752,batch2,2i
ola_mES_2i_2_49.counts,-27.488924,-93.77056,30.594252,19.516651,2.3521187,-2.773897,-28.87736,9.840051,5.7664413,6.3724422,batch2,2i
ola_mES_2i_2_5.counts,35.807552,-76.829506,-18.88917,42.84453,4.28013,-6.553554,-27.65132,-3.9453673,18.100601,-2.852657,batch2,2i
ola_mES_2i_2_50.counts,12.720555,-74.117744,-0.38736376,24.841583,-5.731077,15.713966,-24.468033,68.65544,-3.0349002,-14.886988,batch2,2i
ola_mES_2i_2_51.counts,1.9132444,-88.971,3.8839207,38.36666,-0.11261982,-29.376469,-7.509807,0.4346005,7.1912355,-11.022456,batch2,2i
ola_mES_2i_2_52.counts,14.598371,-79.51521,-14.502338,24.690178,2.7917745,-10.787624,9.820785,37.688934,-22.998306,-17.582241,batch2,2i
ola_mES_2i_2_53.counts,-41.26091,-100.01383,34.20768,18.982046,3.4081259,-20.775387,-7.2554936,9.976015,-2.6512458,7.545516,batch2,2i
ola_mES_2i_2_54.counts,59.93146,-68.23944,-54.95066,57.178024,7.9656367,-53.289383,-7.95018,-22.783287,-3.0067024,17.179567,batch2,2i
ola_mES_2i_2_55.counts,-61.060516,-97.389984,39.176365,14.129714,-1.1791995,-24.264502,2.914852,8.87137,7.1855173,17.729984,batch2,2i
ola_mES_2i_2_56.counts,6.073984,-82.753174,7.172723,32.96332,-15.306212,-32.103634,-25.466097,7.333271,30.142235,12.0739565,batch2,2i
ola_mES_2i_2_57.counts,-38.87532,-100.17621,14.320149,19.739803,-0.71702695,-31.607325,4.650576,7.8205647,2.4067807,20.240633,batch2,2i
ola_mES_2i_2_58.counts,-37.66715,-96.60583,36.85539,22.285307,-6.8194036,-19.406652,-7.4979677,-7.348771,6.209811,19.047703,batch2,2i
ola_mES_2i_2_59.counts,-7.4061537,-87.9266,1.1810434,41.724987,2.1861725,-50.738304,-6.4067965,-26.038416,4.2082295,14.265233,batch2,2i
ola_mES_2i_2_6.counts,-29.451944,-94.588066,12.828964,26.240988,-5.219141,-25.816736,3.8338711,14.796461,-0.6791478,-6.8917704,batch2,2i
ola_mES_2i_2_60.counts,-24.18547,-98.23048,43.007256,34.35494,-16.074503,-30.027376,-27.344004,-11.654846,16.534712,11.966075,batch2,2i
ola_mES_2i_2_61.counts,-22.577608,-93.42094,16.449814,21.085918,5.3625684,-2.6882284,-12.85415,39.625923,6.0344734,5.91803,batch2,2i
ola_mES_2i_2_62.counts,-55.22894,-100.80281,36.673756,18.605919,-13.353794,-24.450287,4.0079656,13.718858,-10.031395,8.493705,batch2,2i
ola_mES_2i_2_63.counts,-25.507391,-91.21449,32.482914,29.749166,-11.660585,9.100286,-35.665398,25.797964,-24.740465,-11.003724,batch2,2i
ola_mES_2i_2_64.counts,-11.955937,-85.30717,-5.1509295,25.826061,1.2402875,-32.04031,5.668151,3.8292158,12.452958,3.6233792,batch2,2i
ola_mES_2i_2_66.counts,15.230453,-84.66543,-10.461731,39.638493,-3.9976153,-24.929115,6.5721455,31.31913,1.7957766,-27.141617,batch2,2i
ola_mES_2i_2_67.counts,-11.884976,-89.19972,27.265623,44.730957,-8.923507,-17.147327,-22.067087,-2.719808,-13.47382,5.127849,batch2,2i
ola_mES_2i_2_68.counts,-43.19248,-104.42513,42.775837,29.9666,-13.682141,-20.819328,1.5671345,21.123384,-16.183636,0.15057838,batch2,2i
ola_mES_2i_2_69.counts,-35.063698,-102.61696,21.259478,22.74361,1.1975749,-27.58669,3.2246616,27.286179,-3.5347333,-0.027812067,batch2,2i
ola_mES_2i_2_7.counts,-47.66305,-97.52874,17.874811,22.74124,-3.4118326,-25.40941,-1.7358032,11.646894,-16.392088,9.689967,batch2,2i
ola_mES_2i_2_72.counts,-47.38229,-98.25525,46.402832,24.384283,-17.717463,-7.2007337,-15.678415,33.12351,4.542557,-2.2176945,batch2,2i
ola_mES_2i_2_73.counts,-48.027775,-86.96955,55.629887,31.708435,-36.86715,-4.370194,-27.052614,-6.256622,-20.781473,26.720222,batch2,2i
ola_mES_2i_2_74.counts,43.5609,-59.853184,-7.859449,65.193436,-17.195639,-15.62995,-52.35726,-29.950287,-20.387726,26.367178,batch2,2i
ola_mES_2i_2_75.counts,-58.17069,-92.03852,45.246983,17.304935,-8.583854,-4.9425473,-5.6228557,26.666355,-9.875774,-3.3978398,batch2,2i
ola_mES_2i_2_76.counts,-24.051262,-85.45543,23.481197,26.44646,-8.830577,-18.030672,4.951072,8.865474,5.642877,-11.954598,batch2,2i
ola_mES_2i_2_79.counts,-11.512888,-93.95731,9.710326,36.165665,-7.8716307,-38.112366,-0.22446875,-4.9103127,-9.173451,11.299241,batch2,2i
ola_mES_2i_2_8.counts,-47.535664,-106.190704,45.62689,22.471087,-8.642416,-6.9445424,-4.8979716,28.4473,-4.1150975,-9.639119,batch2,2i
ola_mES_2i_2_80.counts,-26.903875,-83.81874,21.0776,24.717962,-24.082336,-13.526366,-6.544533,23.539478,2.7210436,2.058207,batch2,2i
ola_mES_2i_2_81.counts,-2.004056,-80.659966,4.4792185,46.52301,-19.748177,-41.748363,20.485346,6.9440875,2.23666,8.975691,batch2,2i
ola_mES_2i_2_85.counts,-46.726757,-95.82006,30.77492,25.712078,-8.597385,-25.345867,0.7096168,-3.5817633,17.48729,17.737827,batch2,2i
ola_mES_2i_2_86.counts,28.869114,-61.671947,10.072128,58.81017,-6.7968006,9.207922,-65.24948,-14.497771,26.108553,2.149044,batch2,2i
ola_mES_2i_2_87.counts,-33.063053,-79.940865,30.326128,30.45998,-12.00468,-9.459292,-34.96939,-10.02869,5.595755,1.8143054,batch2,2i
ola_mES_2i_2_90.counts,58.253082,-70.81185,-50.562275,50.07863,0.9519565,-31.396414,-17.975077,12.39204,10.791948,7.690277,batch2,2i
ola_mES_2i_2_91.counts,-10.469364,-80.38712,3.1680014,28.812456,19.402554,-11.850239,-9.570997,2.9493284,24.58961,10.556322,batch2,2i
ola_mES_2i_2_93.counts,-6.9531636,-85.97897,9.602438,29.550957,-18.151615,-4.640718,-12.788972,56.913628,14.426018,-17.52458,batch2,2i
ola_mES_2i_2_94.counts,36.606575,-78.22561,-6.3108215,72.72983,-16.20851,-55.692776,-6.525841,-30.962275,-5.807617,-13.391545,batch2,2i
ola_mES_2i_2_95.counts,98.418106,-50.215286,-74.46184,89.22087,-4.5630546,-54.12969,-10.040736,10.160293,-10.065698,-5.8948584,batch2,2i
ola_mES_2i_3_10.counts,126.449,6.5869927,60.199745,4.827433,-37.50982,35.106407,0.99640155,14.348898,-6.65246,2.1033988,batch3,2i
ola_mES_2i_3_11.counts,99.03076,-5.054481,44.509193,-4.230011,-10.658125,25.47625,4.817168,-30.706064,11.593809,-21.01469,batch3,2i
ola_mES_2i_3_12.counts,53.097683,-18.193724,71.339264,-13.921384,-33.921944,7.9978986,37.587326,-24.436176,8.180747,-0.37391734,batch3,2i
