cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_41.counts,-0.3755591,-0.0067840163,-0.113054,0.07159643,0.098268814,0.09589956,-0.0011347474,-0.089180894,0.036016043,0.030063987,batch2,2i
ola_mES_2i_2_42.counts,-0.29227254,0.3278063,0.07901419,0.13176952,0.113813885,-0.010087118,0.100261554,-0.0697331,0.013033958,0.02335743,batch2,2i
ola_mES_2i_2_43.counts,-0.39575484,-0.08630766,-0.12940167,0.054050095,0.15432446,-0.031143846,-0.018161474,-0.03034565,-0.10664998,0.022617651,batch2,2i
ola_mES_2i_2_44.counts,-0.34902048,0.07539692,-0.11346808,0.11863963,0.05240217,0.04337886,0.0069434824,-0.05546989,-0.04399476,0.005917169,batch2,2i
ola_mES_2i_2_46.counts,-0.38131312,-0.09681792,-0.21282148,0.046605974,0.123284176,-0.0020547977,0.054294847,-0.08829406,-0.003404385,0.0101863,batch2,2i
ola_mES_2i_2_47.counts,-0.34663555,0.14901203,-0.017413186,0.09013643,0.17340007,-0.014174525,0.023726076,-0.046820883,-0.076869175,0.020953787,batch2,2i
ola_mES_2i_2_48.counts,-0.34539077,0.3299376,0.009079415,0.14547685,0.11172476,-0.0006144432,0.022810014,-0.03150708,-0.096714914,-0.00071120175,batch2,2i
ola_mES_2i_2_49.counts,-0.37919348,-0.045453355,-0.20996866,0.08455835,0.043634716,0.0065505244,-0.020082187,-0.088528335,0.010054913,0.0046471106,batch2,2i
ola_mES_2i_2_5.counts,-0.3271137,0.4163303,0.08053485,0.16865087,0.043068007,0.049969524,0.024753774,-0.084181964,0.006956453,0.032551132,batch2,2i
ola_mES_2i_2_50.counts,-0.31331614,0.23681639,-0.038072716,0.15839386,-0.02232662,0.13300787,-0.0505059,-0.062321708,-0.07862395,0.015953796,batch2,2i
ola_mES_2i_2_51.counts,-0.36667746,0.11641949,-0.07766716,0.08056137,0.14294739,0.0022313653,0.012084504,-0.072994456,-0.0134188235,0.025152467,batch2,2i
ola_mES_2i_2_52.counts,-0.33884075,0.20145929,0.04205188,0.12387897,0.093065545,0.034504693,-0.04693565,-0.051804177,-0.10294402,0.033442296,batch2,2i
ola_mES_2i_2_53.counts,-0.4095142,-0.14257282,-0.23527096,0.067870334,0.060164433,-0.028333973,-0.015987122,-0.06866233,-0.03354992,-0.001241089,batch2,2i
ola_mES_2i_2_54.counts,-0.27655068,0.46366602,0.28615344,0.13413644,0.1808283,-0.046454195,0.02453217,-0.033750333,-0.009598058,0.06457588,batch2,2i
ola_mES_2i_2_55.counts,-0.42542705,-0.33758643,-0.31318974,-0.0031007573,0.1222991,-0.044271465,-0.01067224,-0.07687565,-0.013568801,0.0066784606,batch2,2i
ola_mES_2i_2_56.counts,-0.34151816,0.16575372,-0.06743807,0.09823052,0.12101407,0.094768316,0.031045994,-0.089545,0.04322404,0.026882453,batch2,2i
ola_mES_2i_2_57.counts,-0.42057714,-0.2924754,-0.122287735,-0.014161197,0.19967592,-0.0020968926,-0.030568656,-0.03747557,-0.012219933,0.0459813,batch2,2i
ola_mES_2i_2_58.counts,-0.35717812,-0.03928585,-0.25743854,0.09008419,0.07601384,-0.046763394,0.02639869,-0.08873652,-0.0122475475,-0.03323519,batch2,2i
ola_mES_2i_2_59.counts,-0.35688326,0.058760367,-0.064001314,0.06255888,0.16225457,-0.087903924,0.06375656,-0.07019742,0.0074018314,0.028930623,batch2,2i
ola_mES_2i_2_6.counts,-0.40346432,-0.1521293,-0.1503317,0.026208894,0.15727073,-0.0021862332,-0.023621311,-0.06671349,-0.02710473,0.04780962,batch2,2i
ola_mES_2i_2_60.counts,-0.35617006,0.07876573,-0.21435566,0.1104079,0.06787977,-0.02511496,0.034526493,-0.074592866,0.019353611,-0.026983377,batch2,2i
ola_mES_2i_2_61.counts,-0.37106624,-0.014218147,-0.14226994,0.10333422,0.012781089,0.026562678,-0.07859756,-0.04481369,-0.0667098,-0.0057103722,batch2,2i
