,asw_batch_norm,asw_batch_norm_sub,asw_celltype_norm,fscore,method_use
0,0.5284211933612823,0.47157880663871765,0.6446494311094284,0.5446968624198244,harmony
1,0.5321401283144951,0.4678598716855049,0.6477656066417694,0.5433069421471142,harmony
2,0.5339737497270107,0.4660262502729893,0.6432736217975616,0.5404893688598148,harmony
3,0.5301848351955414,0.4698151648044586,0.6500847488641739,0.5454410161064762,harmony
4,0.5319059640169144,0.46809403598308563,0.6464165300130844,0.5429894191977466,harmony
5,0.5306911002844572,0.4693088997155428,0.6481245309114456,0.5444093619250923,harmony
6,0.5309807918965816,0.46901920810341835,0.6491812765598297,0.5445865789252503,harmony
7,0.5318080224096775,0.4681919775903225,0.6475700438022614,0.5434619455098935,harmony
8,0.5323380120098591,0.4676619879901409,0.6469504535198212,0.5428867002674646,harmony
9,0.5300049632787704,0.46999503672122955,0.6476560831069946,0.5447051215935492,harmony
10,0.533551387488842,0.466448612511158,0.65073162317276,0.5433910358434692,harmony
11,0.5313721634447575,0.46862783655524254,0.6507307887077332,0.5448665955834276,harmony
12,0.5276839695870876,0.47231603041291237,0.64944227039814,0.5468949860500582,harmony
13,0.5313678681850433,0.46863213181495667,0.6457376331090927,0.543111295948851,harmony
14,0.5315673239529133,0.4684326760470867,0.648968905210495,0.5441163607392876,harmony
15,0.5295836180448532,0.4704163819551468,0.6500089913606644,0.545819266925884,harmony
16,0.5283024702221155,0.4716975297778845,0.6471629738807678,0.5456715562754365,harmony
17,0.5319374650716782,0.46806253492832184,0.6456099301576614,0.5426834728488343,harmony
18,0.5310327578336,0.46896724216639996,0.6499206125736237,0.5448114858241421,harmony
19,0.5287204850465059,0.47127951495349407,0.6499247848987579,0.5463700726508152,harmony
