,asw_batch_norm,asw_batch_norm_sub,asw_celltype_norm,fscore,method_use
0,0.5127447638660669,0.48725523613393307,0.6373705714941025,0.552294187474125,combat
1,0.5120505075901747,0.4879494924098253,0.6417730748653412,0.5543889361759761,combat
2,0.5102971149608493,0.4897028850391507,0.6389065086841583,0.5544422407131374,combat
3,0.5116848275065422,0.4883151724934578,0.6381093412637711,0.5532522938613211,combat
4,0.5129556553438306,0.4870443446561694,0.6362926065921783,0.5517537996820332,combat
5,0.5132494708523154,0.4867505291476846,0.6378833055496216,0.552162004968169,combat
6,0.5115094557404518,0.4884905442595482,0.6360599100589752,0.5525928168953124,combat
7,0.5111751863732934,0.4888248136267066,0.6396643221378326,0.5541635858830661,combat
8,0.5122154541313648,0.4877845458686352,0.6420763283967972,0.5543955320404432,combat
9,0.5115391872823238,0.48846081271767616,0.6394583880901337,0.5538523747480106,combat
10,0.5123462090268731,0.4876537909731269,0.6393724232912064,0.5533010361523031,combat
11,0.5131689067929983,0.4868310932070017,0.645141065120697,0.5549159980567574,combat
12,0.5112221017479897,0.48877789825201035,0.63777294754982,0.5534225499489376,combat
13,0.510217072442174,0.48978292755782604,0.6404635161161423,0.5550791115921082,combat
14,0.5115802763029933,0.4884197236970067,0.6384522765874863,0.5534482788566206,combat
15,0.5106073720380664,0.4893926279619336,0.6345735639333725,0.5526066999663821,combat
16,0.5136339338496327,0.48636606615036726,0.6375469416379929,0.551788609691149,combat
17,0.5118040172383189,0.4881959827616811,0.6371127963066101,0.5528009973946405,combat
18,0.5117798019200563,0.48822019807994366,0.6416006684303284,0.5544992391524949,combat
19,0.5130352973937988,0.48696470260620117,0.6410575211048126,0.5534862320199262,combat
