,asw_batch_norm,asw_batch_norm_sub,asw_celltype_norm,fscore,method_use
0,0.6178764253854752,0.38212357461452484,0.6161975488066673,0.47171917831767574,raw
1,0.6180272400379181,0.3819727599620819,0.6193802058696747,0.472533411843257,raw
2,0.6182474568486214,0.38175254315137863,0.6200065091252327,0.4725468885777737,raw
3,0.6156565323472023,0.3843434676527977,0.619461178779602,0.47436691665976577,raw
4,0.617964617908001,0.38203538209199905,0.6186872571706772,0.47237948541425795,raw
5,0.6199867948889732,0.38001320511102676,0.6176144033670425,0.4705195143993527,raw
6,0.617871917784214,0.382128082215786,0.6193662285804749,0.47264817496268224,raw
7,0.6207640767097473,0.3792359232902527,0.6185951977968216,0.47020686371020226,raw
8,0.6170123368501663,0.3829876631498337,0.6177575513720512,0.4728346787172596,raw
9,0.6199987307190895,0.3800012692809105,0.6200231537222862,0.4712076624897964,raw
10,0.6215852424502373,0.3784147575497627,0.6172740906476974,0.4691940173420023,raw
11,0.6160514950752258,0.38394850492477417,0.6195865496993065,0.47410267998592276,raw
12,0.6158355325460434,0.3841644674539566,0.6171967685222626,0.47356550138972786,raw
13,0.6149614974856377,0.38503850251436234,0.6204029023647308,0.47517240352918605,raw
14,0.6165568232536316,0.3834431767463684,0.6213447898626328,0.4742302415977168,raw
15,0.6180822178721428,0.3819177821278572,0.6192070543766022,0.4724409509430485,raw
16,0.6209005191922188,0.3790994808077812,0.6193037927150726,0.4703064433115556,raw
17,0.6180518195033073,0.38194818049669266,0.6195610538125038,0.47256721975913657,raw
18,0.6213583052158356,0.37864169478416443,0.619130939245224,0.4699042249383205,raw
19,0.6153570935130119,0.38464290648698807,0.6184531897306442,0.47429879015805143,raw
