,asw_batch_norm,asw_batch_norm_sub,asw_celltype_norm,fscore,method_use
0,0.5476839281618595,0.4523160718381405,0.6266939043998718,0.5254144657148742,scAEQN
1,0.550517488270998,0.449482511729002,0.6268958747386932,0.523568172517471,scAEQN
2,0.5511353090405464,0.4488646909594536,0.6249834969639778,0.5224817201805388,scAEQN
3,0.5499223843216896,0.4500776156783104,0.6243352964520454,0.5230751388752014,scAEQN
4,0.5484090261161327,0.45159097388386726,0.6276035904884338,0.5252437808682462,scAEQN
5,0.5497208870947361,0.4502791129052639,0.6224383562803268,0.5225439110577709,scAEQN
6,0.5488487333059311,0.4511512666940689,0.6257297098636627,0.5242896055522801,scAEQN
7,0.5478362329304218,0.45216376706957817,0.6230466216802597,0.5240260147532229,scAEQN
8,0.5504259802401066,0.4495740197598934,0.6237058192491531,0.5225141144296027,scAEQN
9,0.5485331304371357,0.4514668695628643,0.6227800399065018,0.5234635586370135,scAEQN
10,0.5489179268479347,0.4510820731520653,0.6214044764637947,0.5227187597078227,scAEQN
11,0.5507521778345108,0.4492478221654892,0.6237776204943657,0.5223189057437791,scAEQN
12,0.550778366625309,0.449221633374691,0.6238849088549614,0.5223388112261975,scAEQN
13,0.5476509407162666,0.45234905928373337,0.623234398663044,0.5242168645595539,scAEQN
14,0.5492340177297592,0.4507659822702408,0.623100645840168,0.5231051367516508,scAEQN
15,0.5466604121029377,0.4533395878970623,0.6279055029153824,0.5265308011083195,scAEQN
16,0.5502656251192093,0.4497343748807907,0.6266471296548843,0.5236521696789163,scAEQN
17,0.5472438149154186,0.4527561850845814,0.6204633861780167,0.5235063601759166,scAEQN
18,0.552094578742981,0.44790542125701904,0.6266840994358063,0.5224231209176439,scAEQN
19,0.5491760261356831,0.45082397386431694,0.6201563328504562,0.5221036103836103,scAEQN
