,asw_batch_norm,asw_batch_norm_sub,asw_celltype_norm,fscore,method_use
0,0.5238835252821445,0.47611647471785545,0.6156149730086327,0.5369533530297819,scvi
1,0.5286398772150278,0.4713601227849722,0.6149903759360313,0.5336803167192753,scvi
2,0.526865616440773,0.473134383559227,0.6151550710201263,0.5348779483174121,scvi
3,0.5277110803872347,0.4722889196127653,0.6178533360362053,0.535352671715249,scvi
4,0.5236947629600763,0.47630523703992367,0.6157830581068993,0.537137329939689,scvi
5,0.5251142214983702,0.47488577850162983,0.6173770353198051,0.53683705118758,scvi
6,0.529325382784009,0.470674617215991,0.6180673614144325,0.5343940519559692,scvi
7,0.5257456060498953,0.4742543939501047,0.6180530935525894,0.536688430071844,scvi
8,0.5255468133836985,0.47445318661630154,0.6149407550692558,0.5356383759054477,scvi
9,0.5263470821082592,0.4736529178917408,0.6155283376574516,0.5353503683452567,scvi
10,0.5227218773216009,0.4772781226783991,0.619131937623024,0.5390284886618402,scvi
11,0.5266982913017273,0.4733017086982727,0.6148576959967613,0.5348723667983354,scvi
12,0.5262707956135273,0.4737292043864727,0.6145616248250008,0.5350330660890517,scvi
13,0.5294172167778015,0.4705827832221985,0.6170151606202126,0.5339412661063712,scvi
14,0.5216082707047462,0.47839172929525375,0.6186382323503494,0.5395502841842165,scvi
15,0.5276161655783653,0.4723838344216347,0.6127754747867584,0.5334981250457448,scvi
16,0.5281930789351463,0.47180692106485367,0.6152949184179306,0.5340813352753258,scvi
17,0.5247087702155113,0.4752912297844887,0.6191636547446251,0.5377710110509414,scvi
18,0.5293123573064804,0.4706876426935196,0.6134175509214401,0.5326569095518822,scvi
19,0.5262208301573992,0.4737791698426008,0.6181010156869888,0.5364020521152941,scvi
