,asw_batch_norm,asw_batch_norm_sub,asw_celltype_norm,fscore,method_use
0,0.5147904539480805,0.48520954605191946,0.6414821147918701,0.5525082975860285,limma
1,0.5149988941848278,0.4850011058151722,0.6402850151062012,0.551928855408126,limma
2,0.5170549619942904,0.48294503800570965,0.6427660882472992,0.5515103931692059,limma
3,0.5149572361260653,0.48504276387393475,0.6405705511569977,0.5520618962843409,limma
4,0.5175829473882914,0.48241705261170864,0.6412764936685562,0.5506175896601556,limma
5,0.515498261898756,0.484501738101244,0.636373832821846,0.5501488944583142,limma
6,0.5142746148630977,0.48572538513690233,0.6411367803812027,0.5527142877015686,limma
7,0.5139072965830564,0.48609270341694355,0.6398291140794754,0.5524651160581127,limma
8,0.5181055199354887,0.4818944800645113,0.6463237702846527,0.5521269614957317,limma
9,0.5173875615000725,0.4826124384999275,0.6386236697435379,0.5497641830703099,limma
10,0.5164908934384584,0.48350910656154156,0.642600953578949,0.5518171339341196,limma
11,0.51666677929461,0.48333322070539,0.6379352360963821,0.5499758606308998,limma
12,0.5149411922320724,0.48505880776792765,0.6383707225322723,0.5512536981339834,limma
13,0.5166075564920902,0.4833924435079098,0.6385651379823685,0.5502481867064015,limma
14,0.5172889400273561,0.48271105997264385,0.6375925540924072,0.5494456569676658,limma
15,0.5159205496311188,0.4840794503688812,0.6414586752653122,0.551766227877567,limma
16,0.5166215468198061,0.4833784531801939,0.639894962310791,0.550732231020331,limma
17,0.5162396747618914,0.48376032523810863,0.6395394653081894,0.5508481748930659,limma
18,0.5157703049480915,0.4842296950519085,0.6415385901927948,0.5518933868803442,limma
19,0.5170618500560522,0.4829381499439478,0.6415034383535385,0.5510405999305243,limma
