,asw_batch_norm,asw_batch_norm_sub,asw_celltype_norm,fscore,method_use
0,0.5713203623890877,0.4286796376109123,0.622361071407795,0.5076749478206635,mnn
1,0.5719723999500275,0.42802760004997253,0.6256066858768463,0.508291979309569,mnn
2,0.5686486288905144,0.4313513711094856,0.6242359206080437,0.5101710154391018,mnn
3,0.5737256780266762,0.4262743219733238,0.6286730021238327,0.5080578937012218,mnn
4,0.5738862529397011,0.4261137470602989,0.6228084340691566,0.5060189217396519,mnn
5,0.5719471201300621,0.4280528798699379,0.623958595097065,0.5077649434561093,mnn
6,0.5747305229306221,0.4252694770693779,0.6223694458603859,0.5052785325020789,mnn
7,0.5721695125102997,0.4278304874897003,0.6239732578396797,0.5076132962399517,mnn
8,0.5722646415233612,0.4277353584766388,0.6257867068052292,0.5081452210374635,mnn
9,0.5692092701792717,0.4307907298207283,0.6243091151118279,0.5098030875930021,mnn
10,0.570860393345356,0.429139606654644,0.61995779722929,0.5071949358763089,mnn
11,0.5710416659712791,0.42895833402872086,0.6241272389888763,0.5084574084353921,mnn
12,0.5731487721204758,0.42685122787952423,0.6243320479989052,0.5070417450661409,mnn
13,0.5696192607283592,0.4303807392716408,0.6228035986423492,0.5090137852517564,mnn
14,0.5720633417367935,0.4279366582632065,0.6207836270332336,0.5066290307944642,mnn
15,0.575236089527607,0.42476391047239304,0.6287191361188889,0.5069985695750712,mnn
16,0.5725100114941597,0.4274899885058403,0.6257389336824417,0.5079562931329078,mnn
17,0.5692604035139084,0.4307395964860916,0.6240357980132103,0.5096761438138843,mnn
18,0.5720901861786842,0.42790981382131577,0.6234957650303841,0.507511015918173,mnn
19,0.5730162337422371,0.4269837662577629,0.6268378794193268,0.5079599563843203,mnn
